Node,Adjacent nodes
295170084,"[295170103, 295170322, 295166244]"
295170322,"[4625697410, 295170084, 295170221, 1144037309, 295166244]"
295174663,"[295174665, 297328779, 295185591, 297328798]"
297328779,"[297328790, 295174663, 297328778, 295185584]"
297328790,"[297328839, 297328844, 297328779, 297328789]"
297328844,"[297328790, 297328788, 297328838, 297328817]"
297328817,"[297328809, 297328818, 297328844, 297328798]"
297328798,"[297328817, 297523214, 297523132, 297328797, 297328819]"
295174458,[1037468210]
297523235,"[297523237, 297523234, 1037468210]"
1037468210,"[295174460, 297523235, 297523129]"
295191007,"[295190997, 295191026, 295191001]"
295190997,"[295190999, 295191007, 414156191]"
295172289,"[295172315, 295172357, 295172319]"
295172319,"[295172357, 295172289]"
295179018,"[299290093, 295179016]"
295179016,"[295179018, 1446974890]"
295191001,"[295190999, 296453932, 295191007]"
295190999,"[414156188, 295190997, 295190919, 295191001]"
295179012,[295179015]
1446974890,"[295179007, 295179016, 295179066]"
295179007,"[299290093, 295179002, 1446974890]"
295179002,"[299290092, 295179065, 295179007, 295179029]"
295179029,"[295179015, 295179002, 299290091]"
295179015,"[1909591133, 295179075, 295179029]"
295179031,"[295179024, 295179065, 299290092, 295179038]"
299290092,"[299290093, 295179031, 295179002, 295179028]"
295179065,"[295179066, 295179002]"
2322495610,[295179031]
295191015,[908170471]
295191012,"[295191021, 295191013]"
295191021,"[295191012, 295191026, 295190915]"
295190915,"[295190919, 296453932, 295191021, 295190941]"
295190941,"[296453647, 295190968, 295190964, 295190915]"
295190968,"[296453666, 449840836, 295191062, 295190941]"
449840836,"[449840837, 295190968]"
